free_bikes,latitude,longitude,name
15,49.262487,-123.114397,0001 10th & Cambie
16,49.274566,-123.121817,0004 Yaletown-Roundhouse Station
20,49.279764,-123.110154,0005 Dunsmuir & Beatty
4,49.260599,-123.113504,0007 12th & Yukon (City Hall)
6,49.264215,-123.117772,0008 8th & Ash
6,49.270877,-123.115103,0009 Spyglass & Seawall
10,49.26893,-123.11813,0010 Stamps Landing
11,49.271721,-123.104207,0011 Ontario & Seawall
23,49.287214,-123.11287,0014 Canada Place
12,49.282409,-123.118541,0015 Granville & Georgia
19,49.287097,-123.118551,0016 Pender & Burrard
21,49.273471,-123.118016,0017 Marinaside & Davie
21,49.282758,-123.122092,0019 Robson & Hornby
19,49.286042,-123.113176,0021 Cordova & Granville
22,49.28602,-123.116624,0024 Hornby & Pender
1,49.279739,-123.116251,0025 Homer & Robson (Vancouver Public Library)
8,49.277483,-123.114279,0026 Beatty & Robson
1,49.275679,-123.116963,0027 Beatty & Nelson
15,49.282759,-123.106955,0030 Abbott & Cordova
12,49.288444,-123.139203,0032 Comox & Denman
13,49.289124,-123.12196,0034 Cordova & Bute
5,49.28062,-123.12482,0037 Hornby & Nelson
12,49.279938,-123.127478,0039 Helmcken & Burrard
2,49.273663,-123.127075,0044 Pacific & Richards
6,49.28972,-123.144028,0047 Chilco & Beach
3,49.285253,-123.134356,0048 Comox & Broughton
1,49.283343,-123.131099,0050 Bute & Comox
13,49.284605,-123.108662,0052 Cambie & Water
9,49.279821,-123.10802,0053 Keefer & Abbott
16,49.278004,-123.105664,0054 Expo & Carrall
14,49.279342,-123.101822,0055 Keefer & Columbia
19,49.273833,-123.114373,0057 Marinaside & Cooperage
16,49.28526,-123.141809,0060 Bidwell & Burnaby
5,49.281506,-123.120101,0063 Robson & Granville
12,49.276115,-123.114496,0064 Expo & Smithe
19,49.272827,-123.147744,0065 Cypress & Cornwall
18,49.269361,-123.13782,0066 Anderson & 2nd
10,49.2653,-123.13811,0069 7th & Granville
4,49.262598,-123.138921,0070 10th & Granville
7,49.25894,-123.139272,0071 14th & Granville
3,49.258763,-123.115392,0072 14th & Cambie
14,49.266724,-123.104824,0073 Ontario & 5th
8,49.262141,-123.101961,0074 10th & Main
12,49.268269,-123.147885,0076 Cypress & 4th
13,49.275717,-123.142564,0077 Vanier Park
9,49.276436,-123.11877,0078 Nelson & Mainland
1,49.277844,-123.120942,0079 Nelson & Richards
10,49.265089,-123.119425,0081 7th & Heather
3,49.28026,-123.135244,0088 Harwood & Bute
15,49.291909,-123.140713,0092 Chilco & Barclay
11,49.293257,-123.138563,0093 Chilco & Robson
12,49.288011,-123.132006,0096 Nicola & Robson
10,49.28117,-123.104419,0098 Carrall & Hastings
9,49.283227,-123.120523,0099 Vancouver Art Gallery - North Plaza
12,49.299292,-123.130281,0101 Stanley Park - Vancouver Aquarium
14,49.29534,-123.150433,0102 Stanley Park - Second Beach North
9,49.294318,-123.148808,0104 Stanley Park - Second Beach South
8,49.298657,-123.121176,0105 Stanley Park - Totem Poles
0,49.259183,-123.120126,0106 Heather & 14th
4,49.263837,-123.105173,0107 8th & Ontario
22,49.270721,-123.146175,0108 1st & Chestnut
0,49.265605,-123.152566,0109 7th & Arbutus
5,49.267222,-123.153157,0110 5th & Arbutus
7,49.262255,-123.126217,0112 10th & Oak
13,49.257654,-123.153212,0113 Arbutus & 16th
3,49.25919,-123.148268,0114 Cypress & 14th
7,49.25741,-123.148531,0115 Cypress & 16th
6,49.285953,-123.124066,0123 Georgia & Thurlow
0,49.280881,-123.130672,0126 Thurlow & Pendrell
3,49.256845,-123.120071,0130 Heather & 16th
2,49.25849,-123.104799,0132 14th & Ontario
5,49.258425,-123.100792,0134 14th & Main
6,49.270905,-123.126006,0136 David Lam Park - West
18,49.273568,-123.129935,0137 Beach & Seymour
3,49.277141,-123.122589,0138 Richards & Helmcken
10,49.267859,-123.145782,0139 Burrard & 4th
3,49.265336,-123.145823,0140 Burrard & 7th
6,49.267628,-123.127698,0143 South False Creek Seawall
3,49.275938,-123.145939,0147 Chestnut & McNicoll
12,49.2756,-123.102661,0148 Creekside Park North
12,49.284157,-123.099917,0150 Alexander & Main
9,49.258924,-123.152591,0152 Arbutus Greenway & 14th
9,49.266774,-123.141135,0153 Arbutus Greenway & Fir
8,49.273355,-123.154493,0154 Kitsilano Beach Park
22,49.276144,-123.151272,0155 Arbutus & McNicoll
4,49.268339,-123.157443,0159 Vine & 4th
2,49.284062,-123.095097,0161 Alexander & Dunlevy
8,49.261742,-123.13148,0166 Alder & 11th
2,49.262206,-123.109091,0172 10th & Columbia
12,49.27023,-123.10651,0174 1st & Manitoba
3,49.262062,-123.104656,0176 10th & Ontario
14,49.27033,-123.10275,0177 Quebec & 1st
2,49.258902,-123.109596,0180 Columbia & 14th
1,49.282224,-123.132778,0187 Bute & Davie
2,49.265071,-123.123864,0191 7th & Laurel
3,49.265198,-123.131043,0192 7th &  Alder
9,49.273691,-123.102232,0193 Science World
15,49.2685027,-123.0975014,0197 1st & Scotia
12,49.278529,-123.100017,0199 Georgia & Main
11,49.288682,-123.11818,0201 Shaw Tower
2,49.258864,-123.14353,0203 Pine & 14th
20,49.271741,-123.155421,0204 York & Yew
1,49.262822,-123.14338,0205 Pine & 10th
7,49.263635,-123.099236,0206 8th & Scotia
2,49.28763,-123.127245,0207 Alberni & Jervis
17,49.297933,-123.130758,0209 Stanley Park - Information Booth
0,49.258819,-123.131317,0211 14th & Alder
9,49.280284,-123.097052,0213 Pender & Gore
15,49.276294,-123.106534,0218 Carrall & Seawall
11,49.277469,-123.081315,0221 Glen & Union
15,49.277665,-123.073653,0222 Adanac & McLean
6,49.277436,-123.070427,0223 Commercial & Adanac
13,49.280332,-123.070068,0224 Pender & Commercial
7,49.279369,-123.091241,0229 Keefer & Princess
11,49.283992,-123.091206,0230 Alexander & Railway
4,49.274881,-123.069323,0231 Napier & Commercial
2,49.275882,-123.071865,0232 Britannia Parking Lot
10,49.273777,-123.092723,0233 Thornton & National
15,49.265005,-123.079481,0236 Keith & 6th
15,49.265024,-123.08127,0237 Glen & 6th
6,49.271377,-123.069416,0239 Grant & Commercial
2,49.268616,-123.069908,0240 2nd & Commercial
4,49.266969,-123.069936,0241 4th & Commercial
2,49.263242,-123.070521,0242 8th & Commercial
12,49.261403,-123.070102,0244 10th & Commercial
11,49.261263,-123.073707,0245 Woodland & 10th
17,49.262242,-123.081459,0246 Glen & Broadway
7,49.262321,-123.09306,0248 St George & Broadway
11,49.264251,-123.073853,0249 7th & Woodland
3,49.266751,-123.073501,0250 Woodland & 4th
0,49.270684,-123.073562,0252 Woodland & Graveley
10,49.2731,-123.0732,0253 Charles & Woodland
0,49.254667,-123.101389,0255 18th & Main
1,49.256694,-123.096579,0256 Prince Edward & 16th
8,49.258352,-123.096337,0257 Prince Edward & 14th
2,49.258817,-123.092797,0258 13th & St George
3,49.26151,-123.089413,0260 10th & Fraser
0,49.263382,-123.088837,0261 8th & Fraser
4,49.261353,-123.085333,0265 St Catherines & 10th
1,49.264466,-123.085183,0266 St Catherines & 7th
1,49.280197,-123.065859,0272 Pender & Victoria
3,49.266725,-123.065925,0273 Victoria & 4th
4,49.261188,-123.066009,0274 Victoria & 10th
8,49.256857,-123.065646,0278 15th & Victoria (Trout Lake)
14,49.283986,-123.065264,0280 Triumph & Victoria
13,49.257985,-123.083366,0281 Windsor & 14th
5,49.257939,-123.089531,0282 14th & Fraser
12,49.256496,-123.075426,0283 15th & Knight
15,49.283236,-123.070443,0285 Commercial & Pandora
8,49.267266,-123.090786,0287 Carolina & Great Northern Way
6,49.265242,-123.095577,0297 6th & Prince Edward
5,49.265213,-123.090785,0298 6th & Carolina
8,49.302577,-123.155616,0103 Stanley Park - Third Beach Parking Lot
14,49.277595,-123.09583,0212 Union & Dunlevy
11,49.279235,-123.087528,0228 Keefer & Hawks
15,49.277333,-123.087359,0219 Hawks & Union
18,49.273103,-123.069892,0235 Charles & Commercial
