,id,name,review_count,categories,rating,bikestation_id
0,6iOAgzJ0DRZNSKA3FSrrOg,La Taqueria Pinche Taco Shop,668,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
1,AEOyRbQtYD3bmX1qJWvt4g,Peaceful Restaurant,610,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]",3.5,7a19c49f486d7c0c02b3685d7b240448
2,NensKn1MSVU_rm-1Y6WlFA,Marulilu Cafe,281,"[{'alias': 'cafes', 'title': 'Cafes'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
3,nkDZY5xqihF3XtZMzzfqqg,Hokkaido Ramen Santouka,218,"[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'soup', 'title': 'Soup'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
4,XAH2HpuUUtu7CUO26pbs4w,Saku,182,"[{'alias': 'japanese', 'title': 'Japanese'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
5,raZ-NDBs9S1j9fPONh4fWw,Vij's Restaurant,366,"[{'alias': 'indpak', 'title': 'Indian'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
6,bJKqZi70hu8g_ctZAAxtJw,Yolks,336,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.5,7a19c49f486d7c0c02b3685d7b240448
7,-HfxEoo3wIWFApvuDcHEGg,Passion8 Dessert Cafe,201,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
8,pJge_LJ3NV8iQtrERe6AyQ,Indian Roti Kitchen,153,"[{'alias': 'indpak', 'title': 'Indian'}]",4.5,7a19c49f486d7c0c02b3685d7b240448
9,4118Aq9LbkvUr4s719uUkA,Uma Sushi,109,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,7a19c49f486d7c0c02b3685d7b240448
10,HIJlNqu7VKYAxFApilHg6w,Shiro,240,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
11,NnaE4IKlc6XdYOUu4IOV5w,49th Parallel Coffee,495,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'donuts', 'title': 'Donuts'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
12,mvCO6pRpfMB0_1GLlwgZRw,Sushi California,310,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",3.5,7a19c49f486d7c0c02b3685d7b240448
13,cD-yIXTipTTN336R5c_MMg,Toshi Sushi,430,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
14,PrKpa6Ejv1v1WvIIywYMvg,Aperture Coffee Bar,122,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'galleries', 'title': 'Art Galleries'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
15,qebPYEXBp8Zo_d7GY50i2w,Westcoast Poke,170,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'poke', 'title': 'Poke'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
16,UkSNdIF54dvas25eh_CmFw,Caffe Cittadella,152,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bistros', 'title': 'Bistros'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
17,eUf08fT2qf-l8Ofi--sETw,Banana Leaf,290,"[{'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'singaporean', 'title': 'Singaporean'}]",3.5,7a19c49f486d7c0c02b3685d7b240448
18,2fO8UIOhMOwNTwtJng1WSg,Mangia Cucina & Bar,71,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,7a19c49f486d7c0c02b3685d7b240448
19,GZKiaocnz8xfoC-fA5Bn-w,Gyu-Kaku Japanese BBQ,192,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
20,l184Y1d3oAa5_Al4YIaRjQ,Anh and Chi,566,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
21,KDpEDnHqRXTeBhNTmvBFiQ,Burgoo Bistros,486,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'bistros', 'title': 'Bistros'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
22,uonaIMF0GOLC8UzKR3IaQA,Fable Diner,320,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
23,qO03dJ4hU0sb5I1eBSEVkA,Dynasty Seafood Restaurant,270,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'seafood', 'title': 'Seafood'}]",3.5,7a19c49f486d7c0c02b3685d7b240448
24,8GSg9GAax8rRmBCij1aneA,Lotus Seed Vegan,124,"[{'alias': 'vegan', 'title': 'Vegan'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
25,gdSAYWUI2MTgrk08r_OZSg,Heritage Asian Eatery,85,"[{'alias': 'panasian', 'title': 'Pan Asian'}, {'alias': 'chinese', 'title': 'Chinese'}]",4.0,7a19c49f486d7c0c02b3685d7b240448
26,u-tcnG8zdDG8QWYTctxyfg,Cactus Club Cafe,137,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}]",3.5,7a19c49f486d7c0c02b3685d7b240448
